"","hour","ID","lat","lon","Det","Diel","tidemeters","tidestate","benthos","rugosity","habitat","depth"
"1","2018-06-01 01","BTT35",24.576916,-81.84723702,0,"Night",0.153075,"incoming","seagrass",2,"channel",3.38328
"2","2018-06-01 02","BTT35",24.576916,-81.84723702,0,"Night",0.214625,"incoming","seagrass",2,"channel",3.38328
"3","2018-06-01 03","BTT35",24.576916,-81.84723702,0,"Night",0.249245,"high","seagrass",2,"channel",3.38328
"4","2018-06-01 04","BTT35",24.576916,-81.84723702,0,"Night",0.249554,"high","seagrass",2,"channel",3.38328
"5","2018-06-01 05","BTT35",24.576916,-81.84723702,0,"Night",0.221378,"high","seagrass",2,"channel",3.38328
"6","2018-06-01 06","BTT35",24.576916,-81.84723702,0,"Night",0.176332,"outgoing","seagrass",2,"channel",3.38328
"7","2018-06-01 07","BTT35",24.576916,-81.84723702,0,"Day",0.132409,"low","seagrass",2,"channel",3.38328
"8","2018-06-01 08","BTT35",24.576916,-81.84723702,0,"Day",0.108214,"low","seagrass",2,"channel",3.38328
"9","2018-06-01 09","BTT35",24.576916,-81.84723702,0,"Day",0.11739,"low","seagrass",2,"channel",3.38328
"10","2018-06-01 10","BTT35",24.576916,-81.84723702,0,"Day",0.164868,"incoming","seagrass",2,"channel",3.38328
"11","2018-06-01 11","BTT35",24.576916,-81.84723702,0,"Day",0.237628,"incoming","seagrass",2,"channel",3.38328
"12","2018-06-01 12","BTT35",24.576916,-81.84723702,0,"Day",0.316207,"incoming","seagrass",2,"channel",3.38328
"13","2018-06-01 13","BTT35",24.576916,-81.84723702,0,"Day",0.382283,"incoming","seagrass",2,"channel",3.38328
"14","2018-06-01 14","BTT35",24.576916,-81.84723702,0,"Day",0.420958,"high","seagrass",2,"channel",3.38328
"15","2018-06-01 15","BTT35",24.576916,-81.84723702,0,"Day",0.421501,"high","seagrass",2,"channel",3.38328
"16","2018-06-01 16","BTT35",24.576916,-81.84723702,0,"Day",0.382424,"high","seagrass",2,"channel",3.38328
"17","2018-06-01 17","BTT35",24.576916,-81.84723702,0,"Day",0.306256,"outgoing","seagrass",2,"channel",3.38328
"18","2018-06-01 18","BTT35",24.576916,-81.84723702,0,"Day",0.204526,"outgoing","seagrass",2,"channel",3.38328
"19","2018-06-01 19","BTT35",24.576916,-81.84723702,0,"Day",0.097422,"outgoing","seagrass",2,"channel",3.38328
"20","2018-06-01 20","BTT35",24.576916,-81.84723702,0,"Day",0.00789,"outgoing","seagrass",2,"channel",3.38328
"21","2018-06-01 21","BTT35",24.576916,-81.84723702,0,"Night",-0.046249,"low","seagrass",2,"channel",3.38328
"22","2018-06-01 22","BTT35",24.576916,-81.84723702,0,"Night",-0.05789,"low","seagrass",2,"channel",3.38328
"23","2018-06-01 23","BTT35",24.576916,-81.84723702,0,"Night",-0.027434,"low","seagrass",2,"channel",3.38328
"24","2018-06-02 00","BTT35",24.576916,-81.84723702,0,"Night",0.032701,"incoming","seagrass",2,"channel",3.38328
"25","2018-06-02 01","BTT35",24.576916,-81.84723702,0,"Night",0.105351,"incoming","seagrass",2,"channel",3.38328
"26","2018-06-02 02","BTT35",24.576916,-81.84723702,0,"Night",0.174453,"incoming","seagrass",2,"channel",3.38328
"27","2018-06-02 03","BTT35",24.576916,-81.84723702,0,"Night",0.225693,"high","seagrass",2,"channel",3.38328
"28","2018-06-02 04","BTT35",24.576916,-81.84723702,0,"Night",0.247728,"high","seagrass",2,"channel",3.38328
"29","2018-06-02 05","BTT35",24.576916,-81.84723702,0,"Night",0.238353,"high","seagrass",2,"channel",3.38328
"30","2018-06-02 06","BTT35",24.576916,-81.84723702,0,"Night",0.206389,"outgoing","seagrass",2,"channel",3.38328
"31","2018-06-02 07","BTT35",24.576916,-81.84723702,0,"Day",0.164956,"outgoing","seagrass",2,"channel",3.38328
"32","2018-06-02 08","BTT35",24.576916,-81.84723702,0,"Day",0.131059,"low","seagrass",2,"channel",3.38328
"33","2018-06-02 09","BTT35",24.576916,-81.84723702,0,"Day",0.11938,"low","seagrass",2,"channel",3.38328
"34","2018-06-02 10","BTT35",24.576916,-81.84723702,0,"Day",0.140441,"low","seagrass",2,"channel",3.38328
"35","2018-06-02 11","BTT35",24.576916,-81.84723702,0,"Day",0.192617,"incoming","seagrass",2,"channel",3.38328
"36","2018-06-02 12","BTT35",24.576916,-81.84723702,0,"Day",0.262008,"incoming","seagrass",2,"channel",3.38328
"37","2018-06-02 13","BTT35",24.576916,-81.84723702,0,"Day",0.331538,"incoming","seagrass",2,"channel",3.38328
"38","2018-06-02 14","BTT35",24.576916,-81.84723702,0,"Day",0.385297,"high","seagrass",2,"channel",3.38328
"39","2018-06-02 15","BTT35",24.576916,-81.84723702,0,"Day",0.409751,"high","seagrass",2,"channel",3.38328
"40","2018-06-02 16","BTT35",24.576916,-81.84723702,0,"Day",0.39707,"high","seagrass",2,"channel",3.38328
"41","2018-06-02 17","BTT35",24.576916,-81.84723702,0,"Day",0.347759,"outgoing","seagrass",2,"channel",3.38328
"42","2018-06-02 18","BTT35",24.576916,-81.84723702,0,"Day",0.267154,"outgoing","seagrass",2,"channel",3.38328
"43","2018-06-02 19","BTT35",24.576916,-81.84723702,0,"Day",0.169468,"outgoing","seagrass",2,"channel",3.38328
"44","2018-06-02 20","BTT35",24.576916,-81.84723702,0,"Day",0.074708,"outgoing","seagrass",2,"channel",3.38328
"45","2018-06-02 21","BTT35",24.576916,-81.84723702,0,"Night",0.002314,"low","seagrass",2,"channel",3.38328
"46","2018-06-02 22","BTT35",24.576916,-81.84723702,0,"Night",-0.03516,"low","seagrass",2,"channel",3.38328
"47","2018-06-02 23","BTT35",24.576916,-81.84723702,0,"Night",-0.034236,"low","seagrass",2,"channel",3.38328
"48","2018-06-03 00","BTT35",24.576916,-81.84723702,0,"Night",0.002666,"incoming","seagrass",2,"channel",3.38328
"49","2018-06-03 01","BTT35",24.576916,-81.84723702,0,"Night",0.06278,"incoming","seagrass",2,"channel",3.38328
"50","2018-06-03 02","BTT35",24.576916,-81.84723702,0,"Night",0.130989,"incoming","seagrass",2,"channel",3.38328
"51","2018-06-03 03","BTT35",24.576916,-81.84723702,0,"Night",0.192471,"incoming","seagrass",2,"channel",3.38328
"52","2018-06-03 04","BTT35",24.576916,-81.84723702,0,"Night",0.233753,"high","seagrass",2,"channel",3.38328
"53","2018-06-03 05","BTT35",24.576916,-81.84723702,0,"Night",0.24563,"high","seagrass",2,"channel",3.38328
"54","2018-06-03 06","BTT35",24.576916,-81.84723702,0,"Night",0.230607,"high","seagrass",2,"channel",3.38328
"55","2018-06-03 07","BTT35",24.576916,-81.84723702,0,"Day",0.198414,"outgoing","seagrass",2,"channel",3.38328
"56","2018-06-03 08","BTT35",24.576916,-81.84723702,0,"Day",0.162591,"outgoing","seagrass",2,"channel",3.38328
"57","2018-06-03 09","BTT35",24.576916,-81.84723702,0,"Day",0.137968,"low","seagrass",2,"channel",3.38328
"58","2018-06-03 10","BTT35",24.576916,-81.84723702,0,"Day",0.135676,"low","seagrass",2,"channel",3.38328
"59","2018-06-03 11","BTT35",24.576916,-81.84723702,0,"Day",0.162778,"low","seagrass",2,"channel",3.38328
"60","2018-06-03 12","BTT35",24.576916,-81.84723702,0,"Day",0.213893,"incoming","seagrass",2,"channel",3.38328
"61","2018-06-03 13","BTT35",24.576916,-81.84723702,0,"Day",0.276241,"incoming","seagrass",2,"channel",3.38328
"62","2018-06-03 14","BTT35",24.576916,-81.84723702,0,"Day",0.335358,"incoming","seagrass",2,"channel",3.38328
"63","2018-06-03 15","BTT35",24.576916,-81.84723702,0,"Day",0.37731,"high","seagrass",2,"channel",3.38328
"64","2018-06-03 16","BTT35",24.576916,-81.84723702,0,"Day",0.38987,"high","seagrass",2,"channel",3.38328
"65","2018-06-03 17","BTT35",24.576916,-81.84723702,0,"Day",0.368374,"high","seagrass",2,"channel",3.38328
"66","2018-06-03 18","BTT35",24.576916,-81.84723702,0,"Day",0.314169,"outgoing","seagrass",2,"channel",3.38328
"67","2018-06-03 19","BTT35",24.576916,-81.84723702,0,"Day",0.234968,"outgoing","seagrass",2,"channel",3.38328
"68","2018-06-03 20","BTT35",24.576916,-81.84723702,0,"Day",0.145823,"outgoing","seagrass",2,"channel",3.38328
"69","2018-06-03 21","BTT35",24.576916,-81.84723702,0,"Night",0.065035,"outgoing","seagrass",2,"channel",3.38328
"70","2018-06-03 22","BTT35",24.576916,-81.84723702,0,"Night",0.008196,"low","seagrass",2,"channel",3.38328
"71","2018-06-03 23","BTT35",24.576916,-81.84723702,0,"Night",-0.016257,"low","seagrass",2,"channel",3.38328
"72","2018-06-04 00","BTT35",24.576916,-81.84723702,0,"Night",-0.006642,"low","seagrass",2,"channel",3.38328
"73","2018-06-04 01","BTT35",24.576916,-81.84723702,0,"Night",0.033233,"incoming","seagrass",2,"channel",3.38328
"74","2018-06-04 02","BTT35",24.576916,-81.84723702,0,"Night",0.091592,"incoming","seagrass",2,"channel",3.38328
"75","2018-06-04 03","BTT35",24.576916,-81.84723702,0,"Night",0.154873,"incoming","seagrass",2,"channel",3.38328
"76","2018-06-04 04","BTT35",24.576916,-81.84723702,0,"Night",0.209191,"incoming","seagrass",2,"channel",3.38328
"77","2018-06-04 05","BTT35",24.576916,-81.84723702,0,"Night",0.242189,"high","seagrass",2,"channel",3.38328
"78","2018-06-04 06","BTT35",24.576916,-81.84723702,0,"Night",0.247162,"high","seagrass",2,"channel",3.38328
"79","2018-06-04 07","BTT35",24.576916,-81.84723702,0,"Day",0.229343,"high","seagrass",2,"channel",3.38328
"80","2018-06-04 08","BTT35",24.576916,-81.84723702,0,"Day",0.198546,"outgoing","seagrass",2,"channel",3.38328
"81","2018-06-04 09","BTT35",24.576916,-81.84723702,0,"Day",0.167587,"low","seagrass",2,"channel",3.38328
"82","2018-06-04 10","BTT35",24.576916,-81.84723702,0,"Day",0.148875,"low","seagrass",2,"channel",3.38328
"83","2018-06-04 11","BTT35",24.576916,-81.84723702,0,"Day",0.150859,"low","seagrass",2,"channel",3.38328
"84","2018-06-04 12","BTT35",24.576916,-81.84723702,0,"Day",0.177919,"incoming","seagrass",2,"channel",3.38328
"85","2018-06-04 13","BTT35",24.576916,-81.84723702,0,"Day",0.223954,"incoming","seagrass",2,"channel",3.38328
"86","2018-06-04 14","BTT35",24.576916,-81.84723702,0,"Day",0.277964,"incoming","seagrass",2,"channel",3.38328
"87","2018-06-04 15","BTT35",24.576916,-81.84723702,0,"Day",0.327484,"incoming","seagrass",2,"channel",3.38328
"88","2018-06-04 16","BTT35",24.576916,-81.84723702,0,"Day",0.359996,"high","seagrass",2,"channel",3.38328
"89","2018-06-04 17","BTT35",24.576916,-81.84723702,0,"Day",0.36476,"high","seagrass",2,"channel",3.38328
"90","2018-06-04 18","BTT35",24.576916,-81.84723702,0,"Day",0.339127,"high","seagrass",2,"channel",3.38328
"91","2018-06-04 19","BTT35",24.576916,-81.84723702,0,"Day",0.285234,"outgoing","seagrass",2,"channel",3.38328
"92","2018-06-04 20","BTT35",24.576916,-81.84723702,0,"Day",0.211789,"outgoing","seagrass",2,"channel",3.38328
"93","2018-06-04 21","BTT35",24.576916,-81.84723702,0,"Night",0.133217,"outgoing","seagrass",2,"channel",3.38328
"94","2018-06-04 22","BTT35",24.576916,-81.84723702,0,"Night",0.065485,"outgoing","seagrass",2,"channel",3.38328
"95","2018-06-04 23","BTT35",24.576916,-81.84723702,0,"Night",0.021045,"low","seagrass",2,"channel",3.38328
"96","2018-06-05 00","BTT35",24.576916,-81.84723702,0,"Night",0.005909,"low","seagrass",2,"channel",3.38328
"97","2018-06-05 01","BTT35",24.576916,-81.84723702,0,"Night",0.021496,"low","seagrass",2,"channel",3.38328
"98","2018-06-05 02","BTT35",24.576916,-81.84723702,0,"Night",0.063128,"incoming","seagrass",2,"channel",3.38328
"99","2018-06-05 03","BTT35",24.576916,-81.84723702,0,"Night",0.11993,"incoming","seagrass",2,"channel",3.38328
"100","2018-06-05 04","BTT35",24.576916,-81.84723702,0,"Night",0.179206,"incoming","seagrass",2,"channel",3.38328
"101","2018-06-05 05","BTT35",24.576916,-81.84723702,0,"Night",0.227792,"incoming","seagrass",2,"channel",3.38328
"102","2018-06-05 06","BTT35",24.576916,-81.84723702,0,"Night",0.254607,"high","seagrass",2,"channel",3.38328
"103","2018-06-05 07","BTT35",24.576916,-81.84723702,0,"Day",0.255083,"high","seagrass",2,"channel",3.38328
"104","2018-06-05 08","BTT35",24.576916,-81.84723702,0,"Day",0.235435,"high","seagrass",2,"channel",3.38328
"105","2018-06-05 09","BTT35",24.576916,-81.84723702,0,"Day",0.204935,"outgoing","seagrass",2,"channel",3.38328
"106","2018-06-05 10","BTT35",24.576916,-81.84723702,0,"Day",0.175294,"low","seagrass",2,"channel",3.38328
"107","2018-06-05 11","BTT35",24.576916,-81.84723702,0,"Day",0.157251,"low","seagrass",2,"channel",3.38328
"108","2018-06-05 12","BTT35",24.576916,-81.84723702,0,"Day",0.157703,"low","seagrass",2,"channel",3.38328
"109","2018-06-05 13","BTT35",24.576916,-81.84723702,0,"Day",0.180286,"incoming","seagrass",2,"channel",3.38328
"110","2018-06-05 14","BTT35",24.576916,-81.84723702,0,"Day",0.219842,"incoming","seagrass",2,"channel",3.38328
"111","2018-06-05 15","BTT35",24.576916,-81.84723702,0,"Day",0.266674,"incoming","seagrass",2,"channel",3.38328
"112","2018-06-05 16","BTT35",24.576916,-81.84723702,0,"Day",0.309402,"incoming","seagrass",2,"channel",3.38328
"113","2018-06-05 17","BTT35",24.576916,-81.84723702,0,"Day",0.336365,"high","seagrass",2,"channel",3.38328
"114","2018-06-05 18","BTT35",24.576916,-81.84723702,0,"Day",0.33809,"high","seagrass",2,"channel",3.38328
"115","2018-06-05 19","BTT35",24.576916,-81.84723702,0,"Day",0.312967,"high","seagrass",2,"channel",3.38328
"116","2018-06-05 20","BTT35",24.576916,-81.84723702,0,"Day",0.263483,"outgoing","seagrass",2,"channel",3.38328
"117","2018-06-05 21","BTT35",24.576916,-81.84723702,0,"Night",0.19794,"outgoing","seagrass",2,"channel",3.38328
"118","2018-06-05 22","BTT35",24.576916,-81.84723702,0,"Night",0.129407,"outgoing","seagrass",2,"channel",3.38328
"119","2018-06-05 23","BTT35",24.576916,-81.84723702,0,"Night",0.071919,"outgoing","seagrass",2,"channel",3.38328
"120","2018-06-06 00","BTT35",24.576916,-81.84723702,0,"Night",0.036353,"low","seagrass",2,"channel",3.38328
"121","2018-06-06 01","BTT35",24.576916,-81.84723702,0,"Night",0.028031,"low","seagrass",2,"channel",3.38328
"122","2018-06-06 02","BTT35",24.576916,-81.84723702,0,"Night",0.048818,"low","seagrass",2,"channel",3.38328
"123","2018-06-06 03","BTT35",24.576916,-81.84723702,0,"Night",0.093077,"incoming","seagrass",2,"channel",3.38328
"124","2018-06-06 04","BTT35",24.576916,-81.84723702,0,"Night",0.149933,"incoming","seagrass",2,"channel",3.38328
"125","2018-06-06 05","BTT35",24.576916,-81.84723702,0,"Night",0.206819,"incoming","seagrass",2,"channel",3.38328
"126","2018-06-06 06","BTT35",24.576916,-81.84723702,0,"Night",0.251272,"high","seagrass",2,"channel",3.38328
"127","2018-06-06 07","BTT35",24.576916,-81.84723702,0,"Day",0.273375,"high","seagrass",2,"channel",3.38328
"128","2018-06-06 08","BTT35",24.576916,-81.84723702,0,"Day",0.269949,"high","seagrass",2,"channel",3.38328
"129","2018-06-06 09","BTT35",24.576916,-81.84723702,0,"Day",0.246958,"outgoing","seagrass",2,"channel",3.38328
