"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"1","BTT18","2018-06-13 00:00:00","A69-1602-65064",2.1,"channel","Night",0.405439,"incoming","seagrass",2,1
"2","BTT27","2018-06-13 00:00:00","A69-1602-65065",2.7,"bank","Night",0.405439,"incoming","sand",1,0
"3","BTT7","2018-06-13 00:00:00","A69-1602-65066",1.6,"basin","Night",0.211645,"incoming","seagrass",2,10
"4","BTT49","2018-06-13 00:00:00","A69-1602-65068",3,"channel","Night",0.179015,"incoming","seagrass",3,0
"5","BTT13","2018-06-13 00:00:00","A69-1602-65069",2.8,"basin","Night",0.555412,"high","seagrass",3,10
"6","BTT54","2018-06-13 00:00:00","A69-1602-65070",3.4,"channel","Night",-0.163052,"low","sand",1,9
"7","BTT46","2018-06-13 00:00:00","A69-1602-65071",2,"basin","Night",0.179015,"incoming","seagrass",1,0
"8","BTT17","2018-06-13 00:00:00","A69-1602-65155",3,"bank","Night",0.211645,"incoming","sand",1,11
"9","BTT37","2018-06-13 00:00:00","A69-1602-65067",3,"bank","Night",0.179015,"incoming","seagrass",3,11
"10","BTT18","2018-06-13 01:00:00","A69-1602-65064",2.1,"channel","Night",0.555412,"high","seagrass",2,0
"11","BTT27","2018-06-13 01:00:00","A69-1602-65065",2.7,"bank","Night",0.555412,"high","sand",1,7
"12","BTT7","2018-06-13 01:00:00","A69-1602-65066",1.6,"basin","Night",0.336702,"high","seagrass",2,10
"13","BTT49","2018-06-13 01:00:00","A69-1602-65068",3,"channel","Night",0.246673,"high","seagrass",3,4
"14","BTT13","2018-06-13 01:00:00","A69-1602-65069",2.8,"basin","Night",0.601995,"high","seagrass",3,10
"15","BTT54","2018-06-13 01:00:00","A69-1602-65070",3.4,"channel","Night",-0.002569,"incoming","sand",1,1
"16","BTT46","2018-06-13 01:00:00","A69-1602-65071",2,"basin","Night",0.246673,"high","seagrass",1,2
"17","BTT17","2018-06-13 01:00:00","A69-1602-65155",3,"bank","Night",0.336702,"high","sand",1,11
"18","BTT37","2018-06-13 01:00:00","A69-1602-65067",3,"bank","Night",0.246673,"high","seagrass",3,12
"19","BTT18","2018-06-13 02:00:00","A69-1602-65064",2.1,"channel","Night",0.601995,"high","seagrass",2,4
"20","BTT27","2018-06-13 02:00:00","A69-1602-65065",2.7,"bank","Night",0.601995,"high","sand",1,5
"21","BTT7","2018-06-13 02:00:00","A69-1602-65066",1.6,"basin","Night",0.392244,"high","seagrass",2,9
"22","BTT49","2018-06-13 02:00:00","A69-1602-65068",3,"channel","Night",0.280408,"high","seagrass",3,4
"23","BTT13","2018-06-13 02:00:00","A69-1602-65069",2.8,"basin","Night",0.560561,"high","seagrass",3,11
"24","BTT54","2018-06-13 02:00:00","A69-1602-65070",3.4,"channel","Night",0.204558,"incoming","sand",1,10
