"","collectioncode","animal_id","scientificname","common_name_e","datelastmodified","detectedby","glatos_array","station","receiver_sn","bottom_depth","receiver_depth","transmitter_id","transmitter_codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","detection_timestamp_utc","timezone","deploy_long","deploy_lat","st_setsrid_4326","yearcollected","monthcollected","daycollected","julianday","timeofday","datereleasedtagger","datereleasedpublic","local_area","notes","citation","unqdetecid"
"1","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:11:09,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.18583333333333,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180148"
"2","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:14:43,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.24527777777778,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180149"
"3","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:16:19,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.27194444444444,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180150"
"4","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:17:57,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.29916666666667,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180151"
"5","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:19:37,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.32694444444444,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180152"
"6","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:21:23,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.35638888888889,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180153"
"7","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:23:19,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.38861111111111,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180154"
"8","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:25:05,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.41805555555556,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180155"
"9","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:27:03,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.45083333333333,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180156"
"10","NSBS","NSBS-Hooker","Prionace glauca","blue shark","2014-12-18","HFX","HFX","HFX047","146",151,146,"A69-9001-24395","A69-9001",NA,NA,"pinger",NA,NA,2014-08-29 06:28:53,"UTC",-63.23715,44.2133,"0101000020E61000008A1F63EE5A9E4FC04F1E166A4D1B4640",2014,8,29,241,6.48138888888889,NA,NA,"HALIFAX",NA,"Hebert, D., Barthelotte, J., O'Dor, R., Stokesbury, M., Branton, R. 2009. Ocean Tracking Network Halifax Canada Line Metadata and Data Set.","HFX-A69-9001-24395-180157"
